© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Heparan Sulfate Biosynthesis	1.09E00	3.85E-02	NaN	RPE65,SULT1A1,XYLT1	
Complement System	1.08E00	5.41E-02	NaN	C5AR1,ITGAX	
IL-3 Signaling	1.08E00	3.8E-02	NaN	INPP5D,RASD2,SHC1	
Endocannabinoid Neuronal Synapse Pathway	1.07E00	3.12E-02	1.000	ADCY2,ADCY8,CACNA1E,CNR1	
Sirtuin Signaling Pathway	1.07E00	2.41E-02	-0.378	EPAS1,GADD45G,H1-2,H4C11,NOS2,PPARGC1A,TUBA4A	
IL-17 Signaling	1.07E00	3.75E-02	NaN	MAP2K6,NOS2,RASD2	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.07E00	3.75E-02	NaN	INPP5D,RASD2,SHC1	
Renal Cell Carcinoma Signaling	1.07E00	3.75E-02	NaN	PAK6,PDGFB,RASD2	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.07E00	3.75E-02	NaN	MAP2K6,PLAAT4,RASD2	
JAK/Stat Signaling	1.07E00	3.75E-02	NaN	CDKN1A,RASD2,SHC1	
Glycoaminoglycan-protein Linkage Region Biosynthesis	1.06E00	1.43E-01	NaN	XYLT1	
Gα12/13 Signaling	1.05E00	3.08E-02	NaN	CDH15,CDH5,LPAR4,RASD2	
Apelin Adipocyte Signaling Pathway	1.04E00	3.66E-02	NaN	ADCY2,ADCY8,PPARGC1A	
Cellular Effects of Sildenafil (Viagra)	1.04E00	3.05E-02	NaN	ADCY2,ADCY8,CACNA1E,GPR37	
Cardiac Hypertrophy Signaling	1.03E00	2.5E-02	0.447	ADCY2,ADCY8,ADRB1,CACNA1E,MAP2K6,RASD2	
Sertoli Cell-Sertoli Cell Junction Signaling	1.03E00	2.7E-02	NaN	CLDN4,F11R,NOS2,RASD2,TUBA4A	
TR/RXR Activation	1.02E00	3.57E-02	NaN	ADRB1,PPARGC1A,SLC16A3	
HER-2 Signaling in Breast Cancer	1.02E00	3.57E-02	NaN	CDKN1A,ITGB4,RASD2	
VEGF Family Ligand-Receptor Interactions	1.02E00	3.57E-02	NaN	NRP1,RASD2,SHC1	
IL-4 Signaling	1.01E00	3.53E-02	NaN	INPP5D,RASD2,SHC1	
STAT3 Pathway	1.01E00	2.96E-02	NaN	CDKN1A,GHR,PDGFB,RASD2	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1E00	1.25E-01	NaN	APOBEC3B	
Axonal Guidance Signaling	1E00	2.07E-02	NaN	ADAMTS4,ADAMTS7,MMP16,NRP1,PAK6,PDGFB,RASD2,SEMA4A,SHC1,TUBA4A	
MIF Regulation of Innate Immunity	9.87E-01	4.76E-02	NaN	LY96,NOS2	
Opioid Signaling Pathway	9.87E-01	2.43E-02	0.000	ADCY2,ADCY8,CACNA1E,FOSB,MAP2K6,RASD2	
Iron homeostasis signaling pathway	9.87E-01	2.92E-02	NaN	EPAS1,ERFE,GDF15,PDGFB	
Xenobiotic Metabolism PXR Signaling Pathway	9.79E-01	2.6E-02	2.236	ABCC3,ALDH3A1,NOS2,PPARGC1A,SULT1A1	
Ceramide Signaling	9.75E-01	3.41E-02	NaN	CNKSR1,RASD2,TNFRSF1B	
Serotonin Receptor Signaling	9.71E-01	4.65E-02	NaN	ADCY2,ADCY8	
RAR Activation	9.67E-01	2.58E-02	NaN	ADCY2,ADCY8,CRABP1,PPARGC1A,RDH5	
Cardiac β-adrenergic Signaling	9.55E-01	2.84E-02	1.000	ADCY2,ADCY8,ADRB1,CACNA1E	
Dermatan Sulfate Biosynthesis (Late Stages)	9.24E-01	4.35E-02	NaN	DSEL,SULT1A1	
Glycine Betaine Degradation	9.14E-01	1E-01	NaN	SDSL	
FAK Signaling	9E-01	3.16E-02	NaN	PAK6,RASD2,TNS1	
Neuregulin Signaling	8.93E-01	3.12E-02	NaN	DCN,RASD2,SHC1	
α-Adrenergic Signaling	8.93E-01	3.12E-02	NaN	ADCY2,ADCY8,RASD2	
ATM Signaling	8.83E-01	3.09E-02	NaN	CDKN1A,GADD45G,H4C11	
Hematopoiesis from Pluripotent Stem Cells	8.79E-01	4.08E-02	NaN	CD8A,LIF	
Melanoma Signaling	8.63E-01	4E-02	NaN	CDKN1A,RASD2	
Myc Mediated Apoptosis Signaling	8.63E-01	4E-02	NaN	ADRB1,TNFRSF1B	
Nitric Oxide Signaling in the Cardiovascular System	8.63E-01	3.03E-02	NaN	ADRB1,CACNA1E,CAV1	
NAD biosynthesis II (from tryptophan)	8.39E-01	8.33E-02	NaN	TDO2	
Guanosine Nucleotides Degradation III	8.39E-01	8.33E-02	NaN	NT5E	
Senescence Pathway	8.3E-01	2.18E-02	0.816	CACNA1E,CDKN1A,GADD45G,MAP2K6,RASD2,TMEM173	
Transcriptional Regulatory Network in Embryonic Stem Cells	8.1E-01	3.7E-02	NaN	H4C11,H4C15	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	8.07E-01	7.69E-02	NaN	NT5E	
NAD Phosphorylation and Dephosphorylation	8.07E-01	7.69E-02	NaN	ACP5	
Role of IL-17A in Arthritis	7.99E-01	3.64E-02	NaN	MAP2K6,NOS2	
Virus Entry via Endocytic Pathways	7.9E-01	2.8E-02	NaN	CAV1,ITGB4,RASD2	
Dopamine-DARPP32 Feedback in cAMP Signaling	7.9E-01	2.45E-02	NaN	ADCY2,ADCY8,CACNA1E,KCNJ11	
Telomerase Signaling	7.9E-01	2.8E-02	NaN	CDKN1A,RASD2,SHC1	
Chondroitin Sulfate Biosynthesis	7.85E-01	3.57E-02	NaN	SULT1A1,XYLT1	
HMGB1 Signaling	7.77E-01	2.42E-02	NaN	LIF,MAP2K6,RASD2,TNFRSF1B	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	7.77E-01	7.14E-02	NaN	HPD	
CXCR4 Signaling	7.64E-01	2.4E-02	NaN	ADCY2,ADCY8,PAK6,RASD2	
iCOS-iCOSL Signaling in T Helper Cells	7.59E-01	2.7E-02	NaN	ICOSLG/LOC102723996,INPP5D,SHC1	
Type I Diabetes Mellitus Signaling	7.59E-01	2.7E-02	NaN	MAP2K6,NOS2,TNFRSF1B	
cAMP-mediated signaling	7.57E-01	2.19E-02	1.342	ADCY2,ADCY8,ADRB1,CNR1,HRH2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	7.52E-01	2.68E-02	NaN	ADCY2,ADCY8,CACNA1E	
Superpathway of Citrulline Metabolism	7.5E-01	6.67E-02	NaN	NOS2	
Adenosine Nucleotides Degradation II	7.5E-01	6.67E-02	NaN	NT5E	
HIF1α Signaling	7.42E-01	2.65E-02	NaN	MMP16,NOS2,RASD2	
Semaphorin Signaling in Neurons	7.4E-01	3.33E-02	NaN	NRP1,PAK6	
Germ Cell-Sertoli Cell Junction Signaling	7.4E-01	2.34E-02	NaN	MAP2K6,PAK6,RASD2,TUBA4A	
Melatonin Degradation I	7.4E-01	3.33E-02	NaN	CYP1A1,SULT1A1	
IL-2 Signaling	7.28E-01	3.28E-02	NaN	RASD2,SHC1	
Apelin Endothelial Signaling Pathway	7.28E-01	2.61E-02	NaN	ADCY2,ADCY8,RASD2	
Parkinson's Signaling	7.26E-01	6.25E-02	NaN	GPR37	
Fc Epsilon RI Signaling	7.12E-01	2.56E-02	NaN	INPP5D,MAP2K6,RASD2	
Sphingosine-1-phosphate Signaling	7.12E-01	2.56E-02	NaN	ADCY2,ADCY8,PDGFB	
Thrombopoietin Signaling	7.08E-01	3.17E-02	NaN	RASD2,SHC1	
p38 MAPK Signaling	7.06E-01	2.54E-02	NaN	IRAK2,MAP2K6,TNFRSF1B	
D-myo-inositol (1,4,5)-trisphosphate Degradation	7.01E-01	5.88E-02	NaN	INPP5D	
Histamine Degradation	7.01E-01	5.88E-02	NaN	ALDH3A1	
Cholecystokinin/Gastrin-mediated Signaling	6.99E-01	2.52E-02	NaN	MAP2K6,RASD2,SHC1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.99E-01	2.52E-02	NaN	LIF,RASD2,SHC1	
NF-κB Signaling	6.93E-01	2.23E-02	NaN	GHR,MAP2K6,RASD2,TNFRSF1B	
Ephrin Receptor Signaling	6.88E-01	2.22E-02	NaN	PAK6,PDGFB,RASD2,SHC1	
PXR/RXR Activation	6.86E-01	3.08E-02	NaN	ABCC3,PPARGC1A	
ErbB2-ErbB3 Signaling	6.86E-01	3.08E-02	NaN	RASD2,SHC1	
Superpathway of Melatonin Degradation	6.86E-01	3.08E-02	NaN	CYP1A1,SULT1A1	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	6.8E-01	5.56E-02	NaN	INPP5D	
Purine Nucleotides Degradation II (Aerobic)	6.8E-01	5.56E-02	NaN	NT5E	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	6.8E-01	5.56E-02	NaN	INPP5D	
ErbB4 Signaling	6.68E-01	2.99E-02	NaN	RASD2,SHC1	
Granzyme A Signaling	6.6E-01	5.26E-02	NaN	H1-2	
Oxidative Ethanol Degradation III	6.6E-01	5.26E-02	NaN	ALDH3A1	
B Cell Receptor Signaling	6.6E-01	2.16E-02	NaN	INPP5D,MAP2K6,RASD2,SHC1	
Apelin Muscle Signaling Pathway	6.6E-01	5.26E-02	NaN	PPARGC1A	
Atherosclerosis Signaling	6.5E-01	2.38E-02	NaN	APOC1,PDGFB,PLAAT4	
Role of JAK1 and JAK3 in γc Cytokine Signaling	6.48E-01	2.9E-02	NaN	RASD2,SHC1	
P2Y Purigenic Receptor Signaling Pathway	6.44E-01	2.36E-02	NaN	ADCY2,ADCY8,RASD2	
Synaptic Long Term Depression	6.38E-01	2.12E-02	NaN	CACNA1E,NOS2,PLAAT4,RASD2	
CDP-diacylglycerol Biosynthesis I	6.38E-01	5E-02	NaN	GPAT3	
Fatty Acid α-oxidation	6.38E-01	5E-02	NaN	ALDH3A1	
Inflammasome pathway	6.38E-01	5E-02	NaN	NOD2	
GM-CSF Signaling	6.38E-01	2.86E-02	NaN	RASD2,SHC1	
Colorectal Cancer Metastasis Signaling	6.36E-01	1.98E-02	0.000	ADCY2,ADCY8,MMP16,NOS2,RASD2	
ILK Signaling	6.33E-01	2.11E-02	NaN	ITGB4,KRT18,MAP2K6,NOS2	
Reelin Signaling in Neurons	6.31E-01	2.33E-02	NaN	CNR1,DCX,MAP2K6	
Growth Hormone Signaling	6.31E-01	2.82E-02	NaN	GHR,IGF2	
Heparan Sulfate Biosynthesis (Late Stages)	6.31E-01	2.82E-02	NaN	RPE65,SULT1A1	
Maturity Onset Diabetes of Young (MODY) Signaling	6.22E-01	4.76E-02	NaN	CACNA1E	
ERK5 Signaling	6.22E-01	2.78E-02	NaN	LIF,RASD2	
Putrescine Degradation III	6.22E-01	4.76E-02	NaN	ALDH3A1	
Clathrin-mediated Endocytosis Signaling	6.18E-01	2.07E-02	NaN	APOC1,FGF14,ITGB4,PDGFB	
Agranulocyte Adhesion and Diapedesis	6.18E-01	2.07E-02	NaN	C5AR1,CDH5,CLDN4,MMP16	
Molecular Mechanisms of Cancer	6.11E-01	1.79E-02	NaN	ADCY2,ADCY8,CDKN1A,MAP2K6,PAK6,RASD2,SHC1	
Leptin Signaling in Obesity	6.04E-01	2.7E-02	NaN	ADCY2,ADCY8	
Glioma Invasiveness Signaling	6.04E-01	2.7E-02	NaN	PLAUR,RASD2	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	6.04E-01	4.55E-02	NaN	GPAT3	
Leukocyte Extravasation Signaling	5.99E-01	2.03E-02	NaN	CDH5,CLDN4,F11R,MMP16	
TREM1 Signaling	5.97E-01	2.67E-02	NaN	ITGAX,NOD2	
IL-15 Signaling	5.97E-01	2.67E-02	NaN	RASD2,SHC1	
Angiopoietin Signaling	5.97E-01	2.67E-02	NaN	PAK6,RASD2	
Erythropoietin Signaling	5.88E-01	2.63E-02	NaN	RASD2,SHC1	
Androgen Signaling	5.88E-01	2.21E-02	NaN	CACNA1E,SHBG,SHC1	
GDNF Family Ligand-Receptor Interactions	5.88E-01	2.63E-02	NaN	RASD2,SHC1	
Th2 Pathway	5.88E-01	2.21E-02	NaN	DLL1,ICOSLG/LOC102723996,TBX21	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	5.87E-01	4.35E-02	NaN	INPP5D	
Tryptophan Degradation III (Eukaryotic)	5.87E-01	4.35E-02	NaN	TDO2	
Ethanol Degradation IV	5.87E-01	4.35E-02	NaN	ALDH3A1	
Dopamine Receptor Signaling	5.8E-01	2.6E-02	NaN	ADCY2,ADCY8	
VDR/RXR Activation	5.72E-01	2.56E-02	NaN	CDKN1A,SPP1	
Hereditary Breast Cancer Signaling	5.65E-01	2.14E-02	NaN	CDKN1A,GADD45G,RASD2	
Insulin Receptor Signaling	5.65E-01	2.14E-02	NaN	INPP5D,RASD2,SHC1	
Agrin Interactions at Neuromuscular Junction	5.64E-01	2.53E-02	NaN	PAK6,RASD2	
Thyroid Cancer Signaling	5.64E-01	2.53E-02	NaN	RASD2,SHC1	
BEX2 Signaling Pathway	5.64E-01	2.53E-02	NaN	CDKN1A,SPP1	
Bupropion Degradation	5.56E-01	4E-02	NaN	CYP1A1	
Tryptophan Degradation X (Mammalian, via Tryptamine)	5.56E-01	4E-02	NaN	ALDH3A1	
Type II Diabetes Mellitus Signaling	5.54E-01	2.11E-02	NaN	CACNA1E,KCNJ11,TNFRSF1B	
Prolactin Signaling	5.5E-01	2.47E-02	NaN	RASD2,SHC1	
Aryl Hydrocarbon Receptor Signaling	5.48E-01	2.1E-02	NaN	ALDH3A1,CDKN1A,CYP1A1	
Xenobiotic Metabolism General Signaling Pathway	5.48E-01	2.1E-02	NaN	ABCA4,MAP2K6,RASD2	
Thrombin Signaling	5.47E-01	1.92E-02	NaN	ADCY2,ADCY8,RASD2,SHC1	
LPS-stimulated MAPK Signaling	5.42E-01	2.44E-02	NaN	MAP2K6,RASD2	
PEDF Signaling	5.42E-01	2.44E-02	NaN	ARHGAP22,RASD2	
Estrogen-mediated S-phase Entry	5.41E-01	3.85E-02	NaN	CDKN1A	
FGF Signaling	5.27E-01	2.38E-02	NaN	FGF14,MAP2K6	
AMPK Signaling	5.21E-01	1.87E-02	NaN	ADRB1,CDKN1A,CHRNA9,PPARGC1A	
HIPPO signaling	5.21E-01	2.35E-02	NaN	AMOT,CRB1	
Relaxin Signaling	5.13E-01	2E-02	NaN	ADCY2,ADCY8,NOS2	
Epithelial Adherens Junction Signaling	5.02E-01	1.97E-02	NaN	DLL1,RASD2,TUBA4A	
Acute Myeloid Leukemia Signaling	4.93E-01	2.25E-02	NaN	MAP2K6,RASD2	
Gustation Pathway	4.92E-01	1.95E-02	NaN	ADCY2,ADCY8,CACNA1E	
TNFR2 Signaling	4.89E-01	3.33E-02	NaN	TNFRSF1B	
Acetone Degradation I (to Methylglyoxal)	4.89E-01	3.33E-02	NaN	CYP1A1	
Prostate Cancer Signaling	4.81E-01	2.2E-02	NaN	CDKN1A,RASD2	
Death Receptor Signaling	4.81E-01	2.2E-02	NaN	PARP10,TNFRSF1B	
HOTAIR Regulatory Pathway	4.65E-01	1.87E-02	NaN	CDKN1A,MMP16,SPP1	
TGF-β Signaling	4.51E-01	2.08E-02	NaN	MAP2K6,RASD2	
Amyotrophic Lateral Sclerosis Signaling	4.46E-01	2.06E-02	NaN	CACNA1E,GRIK2	
Inhibition of Angiogenesis by TSP1	4.46E-01	2.94E-02	NaN	THBS1	
MIF-mediated Glucocorticoid Regulation	4.46E-01	2.94E-02	NaN	LY96	
Retinoate Biosynthesis I	4.46E-01	2.94E-02	NaN	RDH5	
Salvage Pathways of Pyrimidine Ribonucleotides	4.46E-01	2.06E-02	NaN	APOBEC3B,MAP2K6	
UVA-Induced MAPK Signaling	4.4E-01	2.04E-02	NaN	PARP10,RASD2	
Huntington's Disease Signaling	4.34E-01	1.69E-02	NaN	CPLX2,PACSIN1,RPH3A,SHC1	
Apoptosis Signaling	4.34E-01	2.02E-02	NaN	RASD2,TNFRSF1B	
VEGF Signaling	4.34E-01	2.02E-02	NaN	RASD2,SHC1	
Tight Junction Signaling	4.31E-01	1.79E-02	NaN	CLDN4,F11R,TNFRSF1B	
SAPK/JNK Signaling	4.19E-01	1.96E-02	NaN	RASD2,SHC1	
Chronic Myeloid Leukemia Signaling	4.13E-01	1.94E-02	NaN	CDKN1A,RASD2	
Mouse Embryonic Stem Cell Pluripotency	4.13E-01	1.94E-02	NaN	LIF,RASD2	
NER Pathway	4.13E-01	1.94E-02	NaN	H4C11,H4C15	
Wnt/β-catenin Signaling	4.1E-01	1.73E-02	NaN	CDH5,FRZB,SFRP2	
